,Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Format,Country,Balls,Outs,HS,50,100,Dot %
18,Mitchell Starc,23.0,88.0,762.0,26.0,8.66,29.3,20.3,0.0,4/20,71.0,30.0,52.1,T20I,Australia,,,,,,
0,Moeen Ali,31.0,70.1,558.0,26.0,7.95,21.5,16.2,0.0,3/24,37.0,27.0,37.8,T20I,England,,,,,,
2,Gus Atkinson,2.0,6.5,51.0,6.0,7.46,8.5,6.8,0.0,4/20,4.0,1.0,46.3,T20I,England,,,,,,
4,Sam Curran,33.0,106.4,786.0,34.0,7.37,23.1,18.8,1.0,5/10,61.0,17.0,40.3,T20I,England,,,,,,
6,Liam Livingstone,23.0,59.0,501.0,18.0,8.49,27.8,19.7,0.0,3/17,35.0,22.0,35.6,T20I,England,,,,,,
8,Adil Rashid,46.0,170.2,1258.0,47.0,7.39,26.8,21.7,0.0,4/2,63.0,58.0,34.8,T20I,England,,,,,,
10,Ben Stokes,13.0,32.2,245.0,10.0,7.58,24.5,19.4,0.0,2/19,17.0,8.0,40.7,T20I,England,,,,,,
12,Reece Topley,16.0,61.0,476.0,17.0,7.8,28.0,21.5,0.0,3/22,48.0,11.0,43.7,T20I,England,,,,,,
14,David Willey,15.0,51.2,419.0,17.0,8.16,24.6,18.1,0.0,3/25,35.0,13.0,42.2,T20I,England,,,,,,
16,Mark Wood,16.0,60.0,472.0,27.0,7.87,17.5,13.3,0.0,3/20,47.0,17.0,47.2,T20I,England,,,,,,
18,Chris Woakes,21.0,63.3,468.0,20.0,7.37,23.4,19.0,0.0,3/4,39.0,19.0,48.8,T20I,England,,,,,,
0,Gerald Coetzee,3.0,9.5,108.0,3.0,10.98,36.0,19.7,0.0,2/36,14.0,4.0,35.6,T20I,SouthAfrica,,,,,,
2,Reeza Hendricks,1.0,1.0,21.0,0.0,21.0,-,-,0.0,0/21,0.0,3.0,16.7,T20I,SouthAfrica,,,,,,
4,Marco Jansen,3.0,12.0,135.0,5.0,11.25,27.0,14.4,0.0,3/52,13.0,8.0,44.4,T20I,SouthAfrica,,,,,,
